Product_name,Rating,Price,Product_link,Image_link
1STPLAYER PC Gaming TMD Core i5-12400F Processor/16GB RAM 3200MB/1TB SSD/Windows 10 Pro/ NVIDIA GeForce RTX 4060 8GB Black,4.0,"52,996",https://www.noon.com/egypt-en/pc-gaming-tmd-core-i5-12400f-processor-16gb-ram-3200mb-1tb-ssd-windows-10-pro-nvidia-geforce-rtx-4060-8gb-black/N53425348A/p/?o=bb3ab70e49acb43b,https://f.nooncdn.com/p/v1690993932/N53425348A_1.jpg?width=800
1STPLAYER PC Gaming TMD Falcon Pro With Intel Core i7-10700KF Processor / 16GB RAM / 1TB Emmc / Nvidia GeForce RTX3050 Black,N/A,"77,996",https://www.noon.com/egypt-en/pc-gaming-tmd-falcon-pro-with-intel-core-i7-10700kf-processor-16gb-ram-1tb-emmc-nvidia-geforce-rtx3050-black/N53425876A/p/?o=b751451849d4f53b,https://f.nooncdn.com/p/v1691134407/N53425876A_1.jpg?width=800
"DELL G15 5511 Gaming (Upgraded Version) Laptop With 15.6-Inch FHD Display, Core i5-11260H Processer/16GB RAM/512GB SSD/4GB NVidia RTX 3050Ti Graphics Card/Windows 11 English Dark Shadow Grey",3.5,"43,900",https://www.noon.com/egypt-en/g15-5511-gaming-upgraded-version-laptop-with-15-6-inch-fhd-display-core-i5-11260h-processer-16gb-ram-512gb-ssd-4gb-nvidia-rtx-3050ti-graphics-card-windows-11-english-dark-shadow-grey/N53336966A/p/?o=b2a76f0f37c7d74d,https://f.nooncdn.com/p/v1658494197/N53336966A_1.jpg?width=800
GLA3B Gaming PC With Core i5-13400F Processor/16GB RAM DDR5/1TB SSD 8GB Nivida GeForce RTX 3050 Graphics/Windows 10 Pro/ Black,N/A,"56,000",https://www.noon.com/egypt-en/gaming-pc-with-core-i5-13400f-processor-16gb-ram-ddr5-1tb-ssd-8gb-nivida-geforce-rtx-3050-graphics-windows-10-pro-black/N70143282V/p/?o=e0db1010d061f32e,https://f.nooncdn.com/p/pnsku/N70143282V/45/_/1740055896/8c0891a1-0213-4272-89de-7148fce374f0.jpg?width=800
"BOLT Customized Gaming PC,Core i7-13700F Processor/32GB RAM/1TB SSD/16GB GeForce RTX 4060 Graphics Card/Windows 11 Home Black",N/A,"69,000",https://www.noon.com/egypt-en/customized-gaming-pc-core-i7-13700f-processor-32gb-ram-1tb-ssd-16gb-geforce-rtx-4060-graphics-card-windows-11-home-black/N70057411V/p/?o=b4cb6bb5b0cffe9f,https://f.nooncdn.com/p/pnsku/N70057411V/45/_/1711027127/33aa553d-473c-41a7-a64b-b3ff7e3e5fb9.jpg?width=800
"HP Victus 15-FA1082WM Gaming Laptop With 15.6-Inch FHD IPS 144Hz Display, Core i5-13420H Processor/16GB RAM/512GB SSD/6GB NVIDIA Geforce RTX 4050 Graphics Card/Windows 11 English Mica Silver",3.1,"40,400",https://www.noon.com/egypt-en/victus-15-fa1082wm-gaming-laptop-with-15-6-inch-fhd-ips-144hz-display-core-i5-13420h-processor-16gb-ram-512gb-ssd-6gb-nvidia-geforce-rtx-4050-graphics-card-windows-11-english-mica-silver/N70135894V/p/?o=bde9d4d6574e1a1c,https://f.nooncdn.com/p/pnsku/N70135894V/45/_/1734679449/f1a6e3bc-b952-4230-910f-fed2fd73617b.jpg?width=800
MI Excite Gaming PC G6MATX PRO With Core i5 13400F CPU Processor/ Nvidia GeForce RTX 4060 Ti Graphics/   32GB RAM DDR5 /1TB SSD/  Windows 11 Pro/ Black,N/A,"59,500",https://www.noon.com/egypt-en/gaming-pc-g6matx-pro-with-core-i5-13400f-cpu-processor-nvidia-geforce-rtx-4060-ti-graphics-32gb-ram-ddr5-1tb-ssd-windows-11-pro-black/N70154315V/p/?o=be0d350dece2ee5d,https://f.nooncdn.com/p/pnsku/N70154315V/45/_/1739987182/0f054b60-3726-40d2-af95-7855fabdd58a.jpg?width=800
HP Victus Gaming 15-Fa1006Ne Laptop With 15.6 Inch LED / Core I7-13700H / 16GB RAM / 512GB SSD / 6GB Nvidia Geforce RTX Series 3050 / Windows 11 English/Arabic Blue,4.1,"49,086",https://www.noon.com/egypt-en/victus-gaming-15-fa1006ne-laptop-with-15-6-inch-led-core-i7-13700h-16gb-ram-512gb-ssd-6gb-nvidia-geforce-rtx-series-3050-windows-11-english-arabic-blue/N70017259V/p/?o=dc86e63e003ad76d,https://f.nooncdn.com/p/pnsku/N70017259V/45/_/1698085855/d1a2ca3d-8bba-4317-b72f-e0c1f21370df.jpg?width=800
1STPLAYER PC Gaming  Core i5-12400F Processor/16GB RAM/1TB SSD/NVIDIA GeForce RTX 3050 6GB Graphics/Windows 10 Pro Black,4.0,"39,750",https://www.noon.com/egypt-en/pc-gaming-core-i5-12400f-processor-16gb-ram-1tb-ssd-nvidia-geforce-rtx-3050-6gb-graphics-windows-10-pro-black/N70087857V/p/?o=ed34d99705458b0f,https://f.nooncdn.com/p/pnsku/N70087857V/45/_/1719469943/12b4372f-429a-414e-a5b8-99de2ff33a8c.jpg?width=800
"DELL G15 5530 Gaming Laptop With 15.6 Inch Full HD (1920x1080) 120Hz Display,Intel Core i5-13450HX Processor/16GB RAM DDR5/512GB SSD/6GB NVIDIA GeForce RTX 3050 Graphics/ DOS(Without Windows) English/Arabic Dark Shadow Grey",N/A,"38,599",https://www.noon.com/egypt-en/g15-5530-gaming-laptop-with-15-6-inch-full-hd-1920x1080-120hz-display-intel-core-i5-13450hx-processor-16gb-ram-ddr5-512gb-ssd-6gb-nvidia-geforce-rtx-3050-graphics-dos-without-windows-english-arabic-dark-shadow-grey/N70148620V/p/?o=a5f8c1758b068add,https://f.nooncdn.com/p/pnsku/N70148620V/45/_/1738670588/4a4e2c08-83c2-4757-a971-457e64ddc67d.jpg?width=800
